Event,Team,Date,Time,Location,Description
Basketball Practice,TIGERS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,BUZZSAWS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,MATADORS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,KINGS,1/2/2013,7:00 PM,Salem Middle School,TIGERS / BUZZSAWS / MATADORS / KINGS
Basketball Practice,THUNDERBOLTS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,PRAIRIE DOGS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,BAZOOKAS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,JACKHAMMERS,1/3/2013,8:00 PM,Salem Middle School,THUNDERBOLTS / PRAIRIE DOGS / BAZOOKAS / JACKHAMMERS
Basketball Practice,ZIPS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,THUNDERBOLTS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,TIGERS,1/7/2013,7:00 PM,Salem Middle School,ZIPS / THUNDERBOLTS / TIGERS
Basketball Practice,BUZZSAWS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,VOLCANOS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,PYTHONS,1/7/2013,8:00 PM,Salem Middle School,BUZZSAWS / VOLCANOS / PYTHONS
Basketball Practice,JACKHAMMERS,1/8/2013,8:00 PM,Salem Middle School,JACKHAMMERS / JUGGERNAUTS / BEARS
